Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s)
cifar10,Robust,Proposed-TopkPGD,0.1,True,10,0.699999988079071,0.125,104.69999694824219,0.8977539092302322,0.5271774530410767,0.03137257695198059,0.9964296817779541,40.432552337646484,0.0008571292273700237,4.735624074935913
cifar10,Robust,Sparse-PGD,0.5,False,10,0.6000000238418579,0.25,934.7000122070312,0.08720701932907104,1.3332288265228271,0.03137257695198059,0.9750585556030273,32.368350982666016,0.0036311426665633917,2.832911252975464
cifar10,Robust,GreedyFool,0.5,False,10,0.6000000238418579,0.25,664.7999877929688,0.35078126192092896,1.265685796737671,0.03137257695198059,0.9788880944252014,32.82729721069336,0.004143144469708204,2.828948974609375
cifar10,Robust,Proposed-TopkPGD,0.5,True,1,0.800000011920929,0.0,512.0,0.5,0.3073694407939911,0.007843166589736938,0.998650312423706,45.12099838256836,0.00024607620434835553,2.8238978385925293
cifar10,Robust,Proposed-TopkPGD,0.5,True,2,0.800000011920929,0.0,517.7000122070312,0.49443358182907104,0.5864638090133667,0.01568630337715149,0.9952690601348877,39.5088996887207,0.0009135669097304344,3.4726521968841553
cifar10,Robust,Proposed-TopkPGD,0.5,True,3,0.699999988079071,0.125,545.0,0.4677734375,0.8602150082588196,0.02352944016456604,0.9900583624839783,36.18083953857422,0.0019627611618489027,3.6278438568115234
cifar10,Robust,Proposed-TopkPGD,0.5,True,4,0.6000000238418579,0.25,530.5,0.48193359375,1.122169017791748,0.03137257695198059,0.9832181930541992,33.87063980102539,0.003254632232710719,3.784205913543701
cifar10,Robust,Proposed-TopkPGD,0.5,True,5,0.6000000238418579,0.25,529.7000122070312,0.48271483182907104,1.1451131105422974,0.03137257695198059,0.9823882579803467,33.69549560546875,0.0033971816301345825,3.9391419887542725
cifar10,Robust,Proposed-TopkPGD,0.5,True,6,0.6000000238418579,0.25,529.4000244140625,0.4830077886581421,1.1629889011383057,0.03137257695198059,0.9817006587982178,33.56145477294922,0.0034429163206368685,4.099642038345337
cifar10,Robust,Proposed-TopkPGD,0.5,True,7,0.6000000238418579,0.25,526.7999877929688,0.48554688692092896,1.166331171989441,0.03137257695198059,0.9815937280654907,33.53645324707031,0.003471077186986804,4.258468866348267
cifar10,Robust,Proposed-TopkPGD,0.5,True,8,0.6000000238418579,0.25,526.7999877929688,0.48554688692092896,1.1737079620361328,0.03137257695198059,0.9813216924667358,33.481746673583984,0.0035052341409027576,4.414703845977783
cifar10,Robust,Proposed-TopkPGD,0.5,True,9,0.6000000238418579,0.25,526.7999877929688,0.48554688692092896,1.1763769388198853,0.03137257695198059,0.9812613725662231,33.46205520629883,0.0035069335717707872,4.570625066757202
cifar10,Robust,Proposed-TopkPGD,0.5,True,10,0.6000000238418579,0.25,526.7000122070312,0.48564451932907104,1.181338906288147,0.03137257695198059,0.9810634851455688,33.42551803588867,0.003516383236274123,4.7257139682769775
cifar10,Robust,Sparse-PGD,1.0,False,10,0.6000000238418579,0.25,1024.0,0.0,1.6478458642959595,0.03137257695198059,0.967928946018219,30.5345458984375,0.006854999344795942,2.849705934524536
cifar10,Robust,GreedyFool,1.0,False,10,0.6000000238418579,0.25,1023.9000244140625,9.763240814208984e-05,1.6655948162078857,0.03137257695198059,0.9670898914337158,30.441682815551758,0.006989510264247656,2.8244543075561523
cifar10,Robust,Proposed-TopkPGD,1.0,True,1,0.800000011920929,0.0,1024.0,0.0,0.4343577027320862,0.007843166589736938,0.9974091649055481,42.11724090576172,0.0004250612109899521,2.81290602684021
cifar10,Robust,Proposed-TopkPGD,1.0,True,2,0.800000011920929,0.0,1020.7999877929688,0.003125011920928955,0.8355274200439453,0.01568630337715149,0.9909619688987732,36.43439865112305,0.0015643772203475237,3.472620964050293
cifar10,Robust,Proposed-TopkPGD,1.0,True,3,0.6000000238418579,0.25,1024.0,0.0,1.2209980487823486,0.02352944016456604,0.9815812110900879,33.138057708740234,0.003341216593980789,3.627474069595337
