Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s),NumSamples
cifar10,Standard,Proposed-TopkPGD,0.1,True,10,0.15500000083446502,0.8364978557774789,120.52699963378906,0.8822978519201279,0.40584610295295714,0.031372570365667346,0.9951665201187134,42.6617265625,0.00020693475799635054,14.416417121887207,1000
cifar10,Standard,Proposed-TopkPGD,0.2,True,1,0.6549999928474426,0.30907171207012507,203.58099877929686,0.8011904308795929,0.1934930304288864,0.007843166589736938,0.9986258001327515,49.140341003417966,3.670291989692487e-05,14.410837411880493,1000
cifar10,Standard,Proposed-TopkPGD,0.2,True,3,0.21500000035762787,0.7732067118214152,245.5469991455078,0.760208008646965,0.3628370478153229,0.02352942942082882,0.9960332627296448,43.65007186889648,0.00014637955313082785,14.410837411880493,1000
cifar10,Standard,Proposed-TopkPGD,0.2,True,5,0.08999999982118606,0.905063251591433,258.4179963378906,0.7476386754512787,0.47934135723114013,0.03137256768345833,0.9935243425369262,41.2178203125,0.00026131512830033897,14.410837411880493,1000
cifar10,Standard,Proposed-TopkPGD,0.2,True,7,0.04599999985098839,0.951476743641282,256.2550008544922,0.749750975728035,0.5431721172332764,0.031372570365667346,0.9918372845649719,40.13686859130859,0.00034556094650179146,14.410837411880493,1000
cifar10,Standard,Proposed-TopkPGD,0.2,True,10,0.02899999986588955,0.9694092370538269,242.2780009765625,0.7634003896713257,0.5901021885871888,0.03137257695198059,0.9904119286537171,39.42761224365234,0.0004230023236013949,14.410837411880493,1000
cifar10,Standard,Proposed-TopkPGD,0.3,True,1,0.5919999933242798,0.37552740336847706,306.3700017089844,0.70081054520607,0.2373664082288742,0.007843166589736938,0.9980456290245057,47.36532159423828,5.322800841531716e-05,14.411003589630127,1000
cifar10,Standard,Proposed-TopkPGD,0.3,True,3,0.1400000010728836,0.8523206343630698,356.233001953125,0.6521162090301513,0.44638474369049075,0.02352943266928196,0.994237380027771,41.85550674438477,0.0002159340565558523,14.411003589630127,1000
cifar10,Standard,Proposed-TopkPGD,0.3,True,5,0.03899999997019768,0.9588607184997591,382.92400048828125,0.6260507807731629,0.5884375667572022,0.031372570365667346,0.9905953507423401,39.44480419921875,0.0003927635189611465,14.411003589630127,1000
cifar10,Standard,Proposed-TopkPGD,0.3,True,7,0.01799999998509884,0.9810126196860262,380.93099682617185,0.6279970734119416,0.6668075537681579,0.03137257695198059,0.9881726598739624,38.36234844970703,0.000519470423925668,14.411003589630127,1000
